subject,phenomenon,sub_subject,Correct.sentence,Wrong.sentence,Label,URL,Generated,cor.score,wrong.score,difference
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Een nieuwe broek kopen voor Eric (is altijd leuk.),Een nieuwe broek kopen Eric (is altijd leuk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS,5.3625,1.75,3.6125
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het pannenkoeken bakken (is voor Anneke niet moeilijk.),Het een pannenkoek bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS,4.75,1.2,3.55
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De verstrekking van kortingsbonnen in een supermarkt (werd gewaardeerd.),De in een supermarkt verstrekking van kortingsbonnen (werd gewaardeerd.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS,4.725,3.375,1.35
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De schenking van kadobonnen aan de jarige (was een goed idee.),De jarige schenking van kadobonnen (was een goed idee.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS,4.8875,1.75,3.1375
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De terechtstelling van de misdadiger (was afschrikwekkend.),De misdadiger terechtstelling (was afschrikwekkend.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS,5.475,2.0,3.475
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),Het van pannenkoeken bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS,5.8125,1.3,4.5125
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,De reis is heel lang.,Heel is de reis lang.,,,Manual,6.2125,1.454545455,4.757954545
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Een zeer hard gesteente.,Een zeer gesteente.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS,5.965909091,2.3,3.665909091
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Laura is heel getalenteerd.,Laura is heel.,,,Chat-GPT,6.846590909,2.0,4.846590909
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,De boom is erg hoog.,Erg is de boom hoog.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1502lingtopic,Manual/ANS,5.7363636365,1.5,4.2363636365
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Wim is nogal eigenwijs.,Wim is nogal.,,,Manual,6.509090909,2.375,4.134090909
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Nienke is zeer aantrekkelijk.,Nienke is zeer.,,,Manual,6.4272727275,2.375,4.0522727275
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,De bank is een beetje zacht.,Een beetje is de bank zacht.,,,Manual,6.2,1.454545455,4.745454545
Adjective Constituent,3. The Construction of the Adjective Constituent,De bouw van de adjectivische constituent,Hij is niet dol op online les.,Hij is niet dol.,,,Manual,5.5375,2.272727273,3.264772727
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Zijn ego is voldoende groot.,Zijn ego is groot voldoende.,,,Manual,3.325,1.545454545,1.779545455
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Binnekort krijgen we een nieuwe en heel handig systeem.,Binnekort krijgen we een nieuw en heel handige systeem.,,,Manual,2.275,2.636363636,-0.361363636
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De examens zijn makkelijk zat.,Een makkelijk zat examen.,,,Manual,4.9,3.363636364,1.536363636
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De koffie is warm genoeg.,Warm genoege koffie.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,ANS,6.6477272725,2.8,3.8477272725
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Mijn vrienden zijn geweldig mooi.,Mijn vrienden zijn geweldige mooi.,,,Manual,4.340909091,2.5,1.840909091
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Die flats zijn geweldig hoog.,Die flats zijn geweldige hoog.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS,4.731818182,1.625,3.106818182
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Ik vind het een heel handig apparaat,Ik vind het een hele handig apparaat.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS,6.9545454545,2.7,4.2545454545
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,Dat klusje is makkelijk zat.,Een makkelijk zat klusje.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans15030101lingtopic,Manual/ANS,5.3977272725,3.8,1.5977272725
Adjective Constituent,4. Degree-Indicating or Reinforcing (Pre)Determinations,Graadaanduidende of versterkende (voor)bepalingen,De studenten zijn geweldig slim.,De studenten zijn geweldige slim.,,,Manual,5.081818182,2.25,2.831818182
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(Hij is niet) gewend (om) aan de kant gezet te worden.,(Hij is niet) gewend dat hij aan de kant te worden gezet.,,,Manual,6.2615384615,1.5,4.7615384615
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(We zijn niet) geneigd (om) dit zomaar voorbij te laten gaan.,(We zijn niet) geneigd dat we dit zomaar voorbij zouden laten gaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans150403lingtopic,ANS,5.0375,2.538461538,2.499038462
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(Jan is altijd) bereid (om) te helpen.,(Jan is altijd) bereid dat hij zou helpen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans150403lingtopic,ANS,6.5625,1.153846154,5.408653846
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(We zijn niet) bereid (om) te luisteren.,(We zijn niet) bereid dat we zouden luisteren.,,,Manual,6.175,1.461538462,4.713461538
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(Ze zijn niet) geneigd (om) te vechten.,(Ze zijn niet) geneigd dat ze zouden vechten.,,,Manual,4.831730769,1.8,3.031730769
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(We zijn niet) in staat (om) te begrijpen.,(We zijn niet) in staat dat we zouden begrijpen.,,,Manual,2.8221153845,1.4,1.4221153845
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(Peter is altijd) van plan (om) te slagen.,(Peter is altijd) van plan dat hij zou slagen.,,,Manual,4.5625,1.3,3.2625
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(Hij is niet) van plan (om) te helpen.,(Hij is niet) van plan dat hij zou helpen.,,,Manual,6.476923077,1.5,4.976923077
Adjective Constituent,5. Subordinate Clauses,Bijzinnen,(Piet is niet) bereid (om) te stoppen met roken.,(Piet is niet) bereid dat hij zou stoppen met roken.,,,Manual,6.619230769,1.75,4.869230769
Adposition Constituent,6. Pronominal Adverbs,Op de eerste zinsplaats,Waar ga je naartoe?,Waarnaartoe ga je?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15936793453283360,ANS,6.219230769,2.5,3.719230769
Adposition Constituent,6. Pronominal Adverbs,Op de eerste zinsplaats,Door de tranen kon ik niet meer lezen. Overal kwam snot uit.,Overal uit kwam snot.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15936793453283360,ANS,4.8846153845,1.5,3.3846153845
Adposition Constituent,6. Pronominal Adverbs,Vijf typen voornaamwoordelijke bijwoorden,Eigenlijk lijkt het voorwerp op niets dat ik eerder heb gezien.,Eigenlijk lijkt het voorwerp nergens op dat ik eerder heb gezien.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-16000874747697907,ANS,4.985576923,2.2,2.785576923
Adposition Constituent,6. Pronominal Adverbs,Vijf typen voornaamwoordelijke bijwoorden,Ik steun haar in alles wat ze doet.,Ik steun haar overal in wat ze doet.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-16000874747697907,ANS,6.5576923075,3.4,3.1576923075
Adposition Constituent,6. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Hij heeft overal een mening over.,Overal over heeft hij een mening.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS,6.875,1.384615385,5.490384615
Adposition Constituent,6. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Nergens wordt echt diep op ingegaan.,Nergens op wordt echt diep ingegaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS,5.45,1.384615385,4.065384615
Adposition Constituent,6. Pronominal Adverbs,Voornaamwoordelijke bijwoorden,Je moet tenslotte ergens in geloven.,Ergens in moet je tenslotte geloven.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741673051642495,Manual/ANS,6.7375,1.230769231,5.506730769
Adposition Constituent,6. Pronominal Adverbs,Opeenvolgend of los van elkaar?,Verftekeningen lagen op stapels gekwakt ... Nergens stond een titel of datum op.,Verftekeningen lagen op stapels gekwakt. Nergens op stond een titel of datum.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/topic-15741603637922556,ANS,4.985576923,1.8,3.185576923
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Hij zei dat hij de kraanvogels graag wilde fotograferen.,Hij zei dat hij de kraanvogels wilde graag fotograferen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS,5.931818182,1.888888889,4.042929293
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ze was dat boek gaan lezen omdat ze gehoopt had er iets uit te leren.,Ze was dat boek gaan lezen omdat ze er iets uit had hopen te leren.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS,4.715909091,3.0,1.715909091
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ik had gehoopt dat Dick dat artikel intussen aan de redactie had geprobeerd door te sturen.,Ik had gehoopt dat Dick dat artikel intussen had geprobeerd aan de redactie door te sturen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS,4.9204545455,4.0,0.9204545455
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ik had gehoopt dat Dick dat artikel intussen aan de redactie had proberen door te sturen.,Ik had gehoopt dat Dick dat artikel intussen had proberen aan de redactie door te sturen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS,4.361111111,2.181818182,2.179292929
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ik zag hoe Bregje de bal door de opening probeerde te krijgen,Ik zag hoe Bregje de bal probeerde door de opening te krijgen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS,5.9583333335,4.909090909,1.0492424245
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ze zeggen dat hij toen pas merkte een fout gemaakt te hebben.,Ze zeggen dat hij toen pas een fout gemaakt merkte te hebben.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050102lingtopic,ANS,3.965277778,2.090909091,1.874368687
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Hij realiseerde zich dat hij een fout had gemaakt.,Hij realiseerde zich dat hij had gemaakt een fout.,,,Manual,6.808080808,1.25,5.558080808
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Ze hoorde dat ze haar afspraak moest verzetten.,Ze hoorde dat ze moest verzetten haar afspraak.,,,Manual,6.707070707,1.25,5.457070707
Verb Constituent,7. Group-Forming and Non-Group-Forming Uses of Verbs,Groepsvormend en niet-groepsvormend gebruik van werkwoorden,Hij wist dat hij zijn documenten moest organiseren.,Hij wist dat hij moest organiseren zijn documenten.,,,Manual,5.8535353535,1.375,4.4785353535
Verb Constituent,8. Verbs With a Participle as a Complement,"Blijken , dunken , heten , lijken , schijnen , voorkomen",Geen wonder dat de wandelaars uitgehongerd bleken (te zijn).,Geen wonder dat de wandelaars bleken uitgehongerd (te zijn).,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020301lingtopic,ANS,5.7525252525,2.375,3.3775252525
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Zijn broer wil in Spanje gaan wonen.,Zijn broer heeft altijd al in Spanje gewild gaan wonen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,6.8434343435,1.25,5.5934343435
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Peter is vanmiddag voetballen.,Peter is vanmiddag geweest voetballen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,4.878787879,1.5,3.378787879
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,We zagen de koningin voorbijkomen.,We hebben de koningin gezien voorbijkomen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,6.6944444445,1.818181818,4.8762626265
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Dat hoefde ze niet te doen.,Dat had ze niet gehoeven doen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,6.090909091,2.111111111,3.97979798
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Zijn broer gaat in Spanje wonen.,Zijn broer is in Spanje gegaan wonen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,6.9545454545,2.555555556,4.3989898985
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Hij zit te slapen.,Hij heeft gezeten te slapen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,5.1761363635,1.444444444,3.7316919195
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,De kinderen leren op school zwemmen.,De kinderen hebben op school geleerd zwemmen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,4.75,2.363636364,2.386363636
Verb Constituent,8. Verbs With a Participle as a Complement,Hebben en zijn met een vervangende infinitief,Ze laten de bagage op het station staan.,Ze hebben de bagage op het station gelaten staan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805020102lingtopic,ANS,6.576388889,2.272727273,4.303661616
Verb Constituent,9. Verbs With an Infinitive as a Complement,Hebben/krijgen met een infinitief zonder te,Ik zag dat hij zijn been op de stoel had liggen.,Ik zag dat hij had zijn been op de stoel liggen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805041401lingtopic,ANS,5.3839285715,1.333333333,4.0505952385
Verb Constituent,9. Verbs With an Infinitive as a Complement,"Helpen , leren",Die sportleraar heeft me leren roeien.,Die sportleraar heeft me geleerd te roeien.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050413lingtopic,ANS,6.6607142855,5.833333333,0.8273809525
Verb Constituent,9. Verbs With an Infinitive as a Complement,Moeten en hoeven in zinnen met een 'negatief element',Moet ik naar hem luisteren?,Hoef ik naar hem te luisteren?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans180504040303lingtopic,ANS,7.0,1.916666667,5.083333333
Verb Constituent,9. Verbs With an Infinitive as a Complement,Weglaatbaarheid van te bij infinitieven,Wim zit te slapen.,Wim zit slapen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805040102lingtopic,ANS,5.3333333335,1.0,4.3333333335
Verb Constituent,9. Verbs With an Infinitive as a Complement,Mogen,We geven u alvast enkel tips voor als u naar Corsica met vakantie mocht gaan.,We geven u alvast enkele tips voor mocht u naar Corsica met vakantie gaan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans180504040204lingtopic,ANS,2.922619048,3.25,-0.327380952
Verb Constituent,9. Verbs With an Infinitive as a Complement,"Liggen , zitten , hangen (onovergankelijk), staan , lopen",Ton heeft de hele middag aan zijn bureau zitten (te) werken.,Ton heeft de hele middag gezeten aan zijn bureau (te) werken.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050402lingtopic,ANS,6.1041666665,1.285714286,4.8184523805
Verb Constituent,9. Verbs With an Infinitive as a Complement,Weglaatbaarheid van te bij infinitieven,"Als je nu nog heel even blijft staan wachten, dan ga ik zo met je mee.","Als je nu nog heel even blijft staan te wachten, dan ga ik zo met je mee.",uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805040102lingtopic,ANS,4.1666666665,3.857142857,0.309523809499999
Verb Constituent,9. Verbs With an Infinitive as a Complement,Weglaatbaarheid van te bij infinitieven,Die jongens zitten de hele les te slapen.,Die jongens zitten de hele les slapen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805040102lingtopic,ANS,6.2916666665,3.571428571,2.7202380955
Verb Constituent,9. Verbs With an Infinitive as a Complement,"Liggen , zitten , hangen (onovergankelijk), staan , lopen",De appels hebben al een maand aan de boom hangen te rotten.,De appels hebben al een maand aan de boom te rotten gehangen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans18050402lingtopic,ANS,2.755952381,1.875,0.880952381
Verb Constituent,10. The Order Within the Verb Ending Group,Eindgroepen met twee werkwoorden,Ze zag dat er een polítieauto kwam aangereden.,Ze zag dat er een polítieauto aangereden kwam.,,,ANS/Manual,4.5,4.571428571,-0.0714285710000002
Verb Constituent,10. The Order Within the Verb Ending Group,Eindgroepen met twee werkwoorden,Ik hoop dat we voor zo'n ramp gespaard blijven.,Ik hoop dat we voor zo'n ramp blijven gespaard.,,,ANS/Manual,4.6041666665,3.285714286,1.3184523805
Verb Constituent,10. The Order Within the Verb Ending Group,Een infinitief zonder te,Hij zei dat hij het vliegtuig niet kon zien naderen.,Hij zei dat hij het vliegtuig niet naderen kon zien.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070401lingtopic,ANS,5.8333333335,1.571428571,4.2619047625
Verb Constituent,10. The Order Within the Verb Ending Group,Een infinitief zonder te,Ik denk dat ze nog wel zullen komen eten.,Ik denk dat ze nog wel eten zullen komen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070401lingtopic,ANS,5.8511904765,2.125,3.7261904765
Verb Constituent,10. The Order Within the Verb Ending Group,Een infinitief met te,Ik vraag me af wanneer híj nu eindelijk eens de was te drogen hangt.,Ik vraag me af wanneer híj nu eindelijk eens de was hangt te drogen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070402lingtopic,ANS,5.452380952,1.5,3.952380952
Verb Constituent,10. The Order Within the Verb Ending Group,Een infinitief met te,Hij zei dat hij met haar niets meer te maken wilde hebben.,Hij zei dat hij met haar niets meer wilde hebben te maken.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070402lingtopic,ANS,5.1964285715,1.125,4.0714285715
Verb Constituent,10. The Order Within the Verb Ending Group,Aan het + infinitief; voorzetsel + infinitief,Maarten zei dat hij 's middags vaak uit wandelen ging.,Maarten zei dat hij 's middags vaak ging uit wandelen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070403lingtopic,ANS,6.1964285715,1.833333333,4.3630952385
Verb Constituent,10. The Order Within the Verb Ending Group,Aan het + infinitief; voorzetsel + infinitief,Denk jij dat ze al aan het eten zijn?,Denk jij dat ze al zijn aan het eten?,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070403lingtopic,ANS,6.5982142855,1.333333333,5.2648809525
Verb Constituent,10. The Order Within the Verb Ending Group,Aan het + infinitief; voorzetsel + infinitief,Ik denk dat die schuur nu wel op instorten moet staan.,Ik denk dat die schuur nu wel moet staan op instorten.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans1805070403lingtopic,ANS,6.0,2.083333333,3.916666667
